city,forecast_date,nasa_latest_used,run_timestamp,target,unit,actual,ensemble,MV_HLSTM_GRU,MV_GRU,UV_HLSTM_GRU,UV_GRU,adjustment_applied,err_ensemble,abs_err_ensemble,err_MV_HLSTM_GRU,abs_err_MV_HLSTM_GRU,err_MV_GRU,abs_err_MV_GRU,err_UV_HLSTM_GRU,abs_err_UV_HLSTM_GRU,err_UV_GRU,abs_err_UV_GRU,is_om_sourced
Delhi,2026-06-07,2026-06-06,2026-06-09T04:34:55.781808,TMP2m,C,37.14,31.5342,32.0506,28.4441,33.8615,31.7807,False,-5.6058,5.6058,-5.0894,5.0894,-8.6959,8.6959,-3.2785,3.2785,-5.3593,5.3593,False
Delhi,2026-06-07,2026-06-06,2026-06-09T06:40:37.225541,PRmsl,Pa,99980.0,100358.7649,,,,,False,378.7649,378.7649,,,,,,,,,False
Delhi,2026-06-07,2026-06-06,2026-06-09T06:40:37.225541,RH2m,%,29.44,67.5035,,,,,False,38.0635,38.0635,,,,,,,,,False
Delhi,2026-06-07,2026-06-06,2026-06-09T06:40:37.225541,TMP2m,C,37.14,31.5342,,,,,False,-5.6058,5.6058,,,,,,,,,False
Delhi,2026-06-07,2026-06-06,2026-06-09T10:38:52.765389,PRmsl,Pa,99980.0,100358.7649,,,,,False,378.7649,378.7649,,,,,,,,,False
Delhi,2026-06-07,2026-06-06,2026-06-09T10:38:52.765389,RH2m,%,29.44,67.5035,,,,,False,38.0635,38.0635,,,,,,,,,False
Delhi,2026-06-07,2026-06-06,2026-06-09T10:38:52.765389,TMP2m,C,37.14,31.5342,,,,,False,-5.6058,5.6058,,,,,,,,,False
Delhi,2026-06-07,2026-06-06,2026-06-09T23:46:28.297129,PRmsl,Pa,99980.0,100358.7649,100213.1995,100559.2555,100280.0419,100382.5627,False,378.7649,378.7649,233.1995,233.1995,579.2555,579.2555,300.0419,300.0419,402.5627,402.5627,False
Delhi,2026-06-07,2026-06-06,2026-06-09T23:46:28.297129,RH2m,%,29.44,67.5035,53.5159,82.7089,57.3963,76.3927,False,38.0635,38.0635,24.0759,24.0759,53.2689,53.2689,27.9563,27.9563,46.9527,46.9527,False
Delhi,2026-06-07,2026-06-06,2026-06-09T23:46:28.297129,TMP2m,C,37.14,31.5342,32.0506,28.4441,33.8615,31.7807,False,-5.6058,5.6058,-5.0894,5.0894,-8.6959,8.6959,-3.2785,3.2785,-5.3593,5.3593,False
Delhi,2026-06-08,2026-06-07,2026-06-10T23:45:09.107249,PRmsl,Pa,99760.0,100358.8397,,,,,False,598.8397,598.8397,,,,,,,,,False
Delhi,2026-06-08,2026-06-07,2026-06-10T23:45:09.107249,RH2m,%,25.13,67.6439,,,,,False,42.5139,42.5139,,,,,,,,,False
Delhi,2026-06-08,2026-06-07,2026-06-10T23:45:09.107249,TMP2m,C,38.18,32.1857,,,,,False,-5.9943,5.9943,,,,,,,,,False
Delhi,2026-06-09,2026-06-08,2026-06-11T09:35:20.577098,PRmsl,Pa,99769.437,100308.9765,100001.7572,100557.2526,100197.6025,100479.2939,False,539.5395,539.5395,232.3202,232.3202,787.8156,787.8156,428.1655,428.1655,709.8569,709.8569,False
Delhi,2026-06-09,2026-06-08,2026-06-11T09:35:20.577098,RH2m,%,16.2628,67.5304,51.8904,82.7692,57.133,78.3289,False,51.2676,51.2676,35.6276,35.6276,66.5064,66.5064,40.8702,40.8702,62.0661,62.0661,False
Delhi,2026-06-09,2026-06-08,2026-06-11T09:35:20.577098,TMP2m,C,40.1355,32.7616,35.005,28.4051,34.4585,33.178,False,-7.3739,7.3739,-5.1305,5.1305,-11.7304,11.7304,-5.677,5.677,-6.9575,6.9575,False
Delhi,2026-06-11,2026-06-08,2026-06-11T10:35:09.168258,PRmsl,Pa,99998.4408,100308.9765,100001.7572,100557.2526,100197.6025,100479.2939,False,310.5357,310.5357,3.3164,3.3164,558.8118,558.8118,199.1617,199.1617,480.8531,480.8531,True
Delhi,2026-06-11,2026-06-08,2026-06-11T10:35:09.168258,RH2m,%,26.6992,67.5304,51.8904,82.7692,57.133,78.3289,False,40.8312,40.8312,25.1912,25.1912,56.07,56.07,30.4338,30.4338,51.6297,51.6297,True
Delhi,2026-06-11,2026-06-08,2026-06-11T10:35:09.168258,TMP2m,C,36.0099,32.7616,35.005,28.4051,34.4585,33.178,False,-3.2483,3.2483,-1.0049,1.0049,-7.6048,7.6048,-1.5514,1.5514,-2.8319,2.8319,True
Delhi,2026-06-11,2026-06-08,2026-06-11T11:02:57.445504,PRmsl,Pa,99998.4408,100308.9765,100001.7572,100557.2526,100197.6025,100479.2939,False,310.5357,310.5357,3.3164,3.3164,558.8118,558.8118,199.1617,199.1617,480.8531,480.8531,True
Delhi,2026-06-11,2026-06-08,2026-06-11T11:02:57.445504,RH2m,%,26.6992,67.5304,51.8904,82.7692,57.133,78.3289,False,40.8312,40.8312,25.1912,25.1912,56.07,56.07,30.4338,30.4338,51.6297,51.6297,True
Delhi,2026-06-11,2026-06-08,2026-06-11T11:02:57.445504,TMP2m,C,36.0099,32.7616,35.005,28.4051,34.4585,33.178,False,-3.2483,3.2483,-1.0049,1.0049,-7.6048,7.6048,-1.5514,1.5514,-2.8319,2.8319,True
Delhi,2026-06-11,2026-06-08,2026-06-11T11:09:49.817715,PRmsl,Pa,99998.4408,100308.9765,100001.7572,100557.2526,100197.6025,100479.2939,False,310.5357,310.5357,3.3164,3.3164,558.8118,558.8118,199.1617,199.1617,480.8531,480.8531,True
Delhi,2026-06-11,2026-06-08,2026-06-11T11:09:49.817715,RH2m,%,26.6992,67.5304,51.8904,82.7692,57.133,78.3289,False,40.8312,40.8312,25.1912,25.1912,56.07,56.07,30.4338,30.4338,51.6297,51.6297,True
Delhi,2026-06-11,2026-06-08,2026-06-11T11:09:49.817715,TMP2m,C,36.0099,32.7616,35.005,28.4051,34.4585,33.178,False,-3.2483,3.2483,-1.0049,1.0049,-7.6048,7.6048,-1.5514,1.5514,-2.8319,2.8319,True
Delhi,2026-06-12,2026-06-09,2026-06-12T05:14:58.774126,PRmsl,Pa,100310.4127,100308.9765,100001.7572,100557.2526,100197.6025,100479.2939,False,-1.4362,1.4362,-308.6555,308.6555,246.8399,246.8399,-112.8102,112.8102,168.8812,168.8812,True
Delhi,2026-06-12,2026-06-09,2026-06-12T05:14:58.774126,RH2m,%,43.1988,67.5304,51.8904,82.7692,57.133,78.3289,False,24.3316,24.3316,8.6916,8.6916,39.5704,39.5704,13.9342,13.9342,35.1301,35.1301,True
Delhi,2026-06-12,2026-06-09,2026-06-12T05:14:58.774126,TMP2m,C,34.9936,32.7616,35.005,28.4051,34.4585,33.178,False,-2.232,2.232,0.0114,0.0114,-6.5885,6.5885,-0.5351,0.5351,-1.8156,1.8156,True
Delhi,2026-06-12,2026-06-09,2026-06-12T23:54:31.900419,PRmsl,Pa,100310.4127,100308.9765,100001.7572,100557.2526,100197.6025,100479.2939,False,-1.4362,1.4362,-308.6555,308.6555,246.8399,246.8399,-112.8102,112.8102,168.8812,168.8812,True
Delhi,2026-06-12,2026-06-09,2026-06-12T23:54:31.900419,RH2m,%,43.1988,67.5304,51.8904,82.7692,57.133,78.3289,False,24.3316,24.3316,8.6916,8.6916,39.5704,39.5704,13.9342,13.9342,35.1301,35.1301,True
Delhi,2026-06-12,2026-06-09,2026-06-12T23:54:31.900419,TMP2m,C,34.9936,32.7616,35.005,28.4051,34.4585,33.178,False,-2.232,2.232,0.0114,0.0114,-6.5885,6.5885,-0.5351,0.5351,-1.8156,1.8156,True
Delhi,2026-06-13,2026-06-10,2026-06-13T23:50:01.958505,PRmsl,Pa,100170.4947,100297.0183,100061.9959,100545.9725,100115.9119,100464.1928,False,126.5236,126.5236,-108.4988,108.4988,375.4778,375.4778,-54.5828,54.5828,293.6981,293.6981,True
Delhi,2026-06-13,2026-06-10,2026-06-13T23:50:01.958505,RH2m,%,41.2832,67.1791,50.3565,82.7603,56.9575,78.642,False,25.8959,25.8959,9.0733,9.0733,41.4771,41.4771,15.6743,15.6743,37.3588,37.3588,True
Delhi,2026-06-13,2026-06-10,2026-06-13T23:50:01.958505,TMP2m,C,35.4215,33.1675,35.7428,28.4784,35.4531,32.9956,False,-2.254,2.254,0.3213,0.3213,-6.9431,6.9431,0.0316,0.0316,-2.4259,2.4259,True
